tweet,label_kenaikanbbm,label_kesehatanAPBN,label_omnibus_law,label_kenaikanppn,label_pemerintah
"Perdebatan antara Bayu Satria Utomo (Ketua BEM.UI) dengan salah satu Perwira Polisi pada saat aksi unjuk rasa menolak kenaikan harga BBM yang digelar oleh http://BEM.SI Kerakyatan, terdiri dari perwakilan Mahasiswa dari beberapa Kampus di Indonesia pada Jumat kemarin.",0.0,0.5,0.5,0.5,0.0
"Tolak Kenaikan BBM Aksi Rakyat Bersatu 1010 di Patung Kuda, Jakarta.",0.0,0.5,0.5,0.5,0.0
"Aksi Aliansi BEM se-Sukabumi Menolak Kenaikan Harga BBM & Mengutuk Keras Tindakan Pelanggaran HAM didepan kantor DPRD kota Sukabumi, kemarin.. 
  (6/Okt/2022)",0.0,0.5,0.5,0.5,0.0
"Seruan Akbar Aksi Bela Rakyat pada tanggal 10 Oktober 2022 di Patung Kuda Jakarta.. 
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak kenaikan harga BBM
  Ã¢â‚¬Â¢Turunkan harga-harga
  Ã¢â‚¬Â¢Tegakkan supremasi Hukum dll",0.0,0.5,0.5,0.5,0.0
"Harga Minyak Mentah Anjlok, 
  @FPKSDPRRI
  Minta Pemerintah Bersikap Adil Dg Turunkan Harga BBM Subsidi. Kasian Rakyat Yg Terdampak Kenaikan Harga2 Akibat Kenaikan Harga BBM, Pdhl Harga Minyak Mentah Malah Sudah Makin Turun.",0.0,0.5,0.5,0.5,0.0
"Aksi sejuta Buruh di kawasan Patung Kuda Jakarta 
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Batalkan kenaikan harga BBM
  Ã¢â‚¬Â¢Turunkan hargaÃ‚Â² bahan pokok
  Ã¢â‚¬Â¢Tolak RUU KUHP
  Ã¢â‚¬Â¢Cabut UU OmnibusLaw dll.. (10/Okt/2022)",0.0,0.0,0.0,0.5,0.0
"""Kenaikan BBM ditolak tapi BLT antri paling Depan""",0.0,0.0,0.5,0.5,0.0
"Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta, Kemana Rakyat Mengadu?",0.0,1.0,0.5,0.5,0.0
"Aksi Buruh didepan kantor DPRD Sumatera Utara
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak kenaikan harga BBM & bahan pokok
  Ã¢â‚¬Â¢Cabut UU OmnibusLaw
  Ã¢â‚¬Â¢Tolak RUU KUHP dll.. (10/Okt/2022)",0.0,0.5,0.5,0.5,0.0
"Bantuan Langsung Tunai adalah solusi ditengah kenaikan BBM
  orang Kalimantan Selatan tetap tenang....
  #BLTBBMBantuMasyarakat
  #BansosBBMRingankanRakyat
  #KPMPenyaluranBLTTepatSasaran
  #SukseskanKebijakanPemerintah
  #SubsidiBerkeadilanUntukMasaDepan",1.0,0.5,0.5,0.5,1.0
"Gerak cepat pemerintah menindaklanjuti kenaikan harga BBM subsidi adalah penyaluran BLT BBM yg sampai saat ini sdah tersalurkan di 445 kota/ kabupaten 
  
  BBM Pertamina dijamin aman
  
  #FaktaPertalite",1.0,1.0,0.5,0.5,1.0
"Banyak masyarakat yang salah paham memaknai kenaikan harga BBM subsidi. tidak ada pencabutan subsidi setelah pemerintah menaikkan harga BBM.
  #RealokasiSubsidiBBM",1.0,1.0,0.5,0.5,1.0
